GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,18,3,0,0,4,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,4,104,2,2,2,26,2,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,6,127,2,2,3,31,2,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,4,104,2,2,2,26,2,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,4,104,2,2,2,26,2,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,4,104,2,2,2,26,2,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,LogController,18,3,2,0,6,1,3,1,2,1
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,4,104,2,2,2,26,2,7,0,7
spring-boot-skeleton,com.nnk.springboot.services,CustomUserDetailsService,34,3,2,0,4,1,2,1,1,1
spring-boot-skeleton,com.nnk.springboot.services,RuleNameService,13,45,1,1,2,12,1,6,0,6
spring-boot-skeleton,com.nnk.springboot.services,UserService,37,41,3,1,7,12,3,6,1,6
spring-boot-skeleton,com.nnk.springboot.services,BidListService,13,41,1,1,2,12,1,6,0,6
spring-boot-skeleton,com.nnk.springboot.services,TradeService,13,41,1,1,2,12,1,6,0,6
spring-boot-skeleton,com.nnk.springboot.services,SCHService,0,13,0,0,0,3,0,3,0,3
spring-boot-skeleton,com.nnk.springboot.services,RatingService,13,41,1,1,2,12,1,6,0,6
spring-boot-skeleton,com.nnk.springboot.services,CurveService,13,41,1,1,2,12,1,6,0,6
spring-boot-skeleton,com.nnk.springboot.configuration,SpringSecurityConfig,0,131,0,0,0,24,0,3,0,3
spring-boot-skeleton,com.nnk.springboot,Application,12,3,0,0,4,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot,AuthenticationProvider,0,15,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.domain,Rating,10,43,0,0,5,19,3,10,3,10
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,24,43,0,0,11,19,7,10,7,10
spring-boot-skeleton,com.nnk.springboot.domain,Trade,126,39,0,0,55,17,36,9,36,9
spring-boot-skeleton,com.nnk.springboot.domain,BidList,123,39,0,0,53,17,35,9,35,9
spring-boot-skeleton,com.nnk.springboot.domain,User,7,53,0,0,3,23,2,12,2,12
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,14,43,0,0,6,19,4,10,4,10
